https://www.allmovie.com/movie/pans-labyrinth-v326961, Pan's Labyrinth, Drama Fantasy, Fairy Tales & Legends Period Film War Drama, Dec 29 2006, 119, Mexico Spain, R, 10,  Adult Situations Gore Graphic Violence Not For Children Profanity War Violence, Guillermo del Toro, Esperanto Filmoj Estudios Picasso OMM Picturehouse Telecinco Tequila Gang, Pan-Europeenne Picturehouse Warner Bros. Pictures International, A World of Its Own, Chosen One | Fantasy Life | Mythical Creatures | Mothers and Daughters | Servants and Employers, fairytale fantasy guerrilla labyrinth princess reality revolution, High Artistic Quality, Mexican filmmaker Guillermo del Toro returns to the phantasmagorical cinema that defined such early fare as Cronos and The Devil's Backbone with this haunting fantasy-drama set in the aftermath of the Spanish Civil War and detailing the strange journeys of an imaginative young girl who may be the mythical princess of an underground kingdom. Her mother Carmen (Ariadna Gil) recently remarried to sadistic army captain Vidal (Sergi López) and soon to bear the cruel military man's child shy young Ofelia (Ivana Baquero) is forced to entertain herself as her recently-formed family settles into their new home nestled deep in the Spanish countryside. As Ofelia's bed-ridden mother lies immobilized in anticipation of her forthcoming child and her high-ranking stepfather remains determined to fulfill the orders of General Francisco Franco to crush a nearby guerilla uprising the young girl soon ventures into an elaborate stone labyrinth presided over by the mythical faun Pan (Doug Jones). Convinced by Pan that she is the lost princess of legend and that in order to return to her underground home she must complete a trio of life-threatening tasks Ofelia sets out to reclaim her kingdom and return to her grieving father as Vidal's housekeeper Mercedes (Maribel Verdú) and doctor (Alex Angulo) plot secretly on the surface to keep the revolution alive., Ariadna Gil | Ivana Baquero | Sergi López | Doug Jones | Alex Angulo | Manolo Solo | Cesar Vea | Roger Casamajor | Gonzalo Martin Uriarte | Eusebio Lazaro | Juanjo Cucalon | Lina Mira | Mario Zorilla | Sebastian Haro | Mila Espiga | Pepa Pedroche | María Jesús Gatoo | Ana Saez | Chani Martin | Milo Taboada | Fernando Albizu | Pedro G. Marzo | Jose Luis Torrijos | Inigo Garces | Fernando Tielve | Federico Luppi | Chicho Campillo | Shirley Cheechoo, Blancanieves | The Devil's Backbone | Mama | The Lives of Others | MirrorMask | The Fall
https://www.allmovie.com/movie/my-mexican-shivah-v383511, My Mexican Shivah, Comedy Drama, Ensemble Film, Aug 29 2008, 98, Mexico USA, NR, 5, , Alejandro Springall, Daniel Andreu-Von Euw Emilio & Jose Achar Foprocine Instituto Mexicano de Cinematografia Meir & Roy Raphael Zury Levy, Emerging Pictures, , Death in the Family, funeral Jewish Mexican [nationality] pregnancy, , The passing of a Mexican Jew whose appetite for life was stronger than his spiritual discipline makes for a difficult set of funeral arrangements in this comedy from filmmaker Alejandro Springall. Moishe (Sergio Klainer) was a happy-go-lucky guy living in Mexico City's Jewish quarter until the day he died -- appropriately enough while dancing at a party for a local Hebrew theater troupe. While Moishe was a man with plenty of friends most of the folks he left behind to arrange his funeral don't have much good to say for him. Moishe's daughter Esther (Raquel Pankowsky) has long been bitter about the fact that he cheated on her mother and with a Gentile to boot. His son Ricardo (David Ostrosky) didn't much care for his dad and at the moment is more concerned about the unexpected pregnancy of his short-term girlfriend. Moishe's grandson Nicolas (Emilio Savinni) was forced to flee Mexico after being convicted on drug charges; having returned home he's become a reactionary Orthodox Jew with nothing good to say about Moishe's lifestyle. The local rabbi (Lenny Zundel) has his own ideas about how to conduct the funeral and mourning period which don't agree with Moishe's view of the world. And Galia (Sharon Zundel) is too busy dealing with her new passion for her cousin Nicholas to focus on her grandfather's passing. Morirse Esta en Hebreo (aka My Mexican Shivah received its North American premiere at the 2006 New York Jewish Film Festival., Raquel Pankowsky | David Ostrosky | Sharon Zundel | Emilio Savinni | Lenny Zundel | Blanca Guerra | Martin Lasalle | Guillermo Murray | Abraham Stavans | Max Kerlow, Nora's Will | Death at a Funeral | Death at a Funeral | Nashville | Hannah and Her Sisters | American Graffiti
https://www.allmovie.com/movie/loudquietloud-a-film-about-the-pixies-v347288, LoudQUIETloud: A Film about the Pixies, Music, Biography Concerts Music History, , 82, USA, , 5, , Steven Cantor / Matthew Galkin, Cactus Three Stick Figure Productions, , , Musician's Life, , , The band that inspired some of the most innovative rock acts of the new millennium reunites to conquer the globe 12 years after calling it quits and filmmaker Steven Cantor is there to capture all the low-lights and highlights of their tentative reunion in a probing documentary exploring the re-birth of Gen-X alternative giants the Pixies. Plagued by personal problems from the beginning but driven to create such classic albums as Surfer Rosa and Doolittle Frank Black Kim Deal Joey Santiago and David Lovering smashed convention to deliver a wailing wall of chaotic but catchy riffs that when combined with Black's disjointed lyrics and volatile vocals gave birth to an entirely new sound. Initially self-destructing in 1993 and fragmenting into a variety of compelling offshoots the Pixies weathered out the remainder of the decade and the first years of the new millennial crossover on their own before a series of jam sessions between the former bandmates led to a wildly successful 2004 North American tour., , Kurt Cobain About a Son | The Cure: Out of the Woods - Unauthorized | Gigantic (A Tale of Two Johns) | Grace Jones: Bloodlight and Bami | The Who: The Kids Are Alright | Straight Into a Storm
https://www.allmovie.com/movie/penelope-v332272, Penelope, Comedy, Romantic Comedy Fantasy Comedy, Feb 29 2008, 101, UK USA, PG, 5,  Adult Language Adult Situations Mild Violence, Mark Palansky, Grosvenor Park Media Stone Village Productions Tatira Active Type A Films, IFC Films, Fantastic Reality | Off the Beaten Path, Misfits and Outsiders | Curses and Spells | Mothers and Daughters, aristocrat curse disfigurement pig reporter tabloid, , A kindly aristocrat suffering from an unsightly curse breaks free from her extravagant prison-like estate to seek adventure and discover her true self in a romantic modern-day fairy tale directed by Mark Palansky and starring Christina Ricci James McAvoy Peter Dinklage and Reese Witherspoon. Generations ago a witch placed a curse on the Wilhelm family that would result in the next girl being born into the clan having a porcine snout -- and now young Penelope (Ricci) has fallen victim to the vengeful hag's unsightly grudge. When tabloid reporter Lemon (Dinklage) runs a misleadingly frightening photograph of the kind-hearted Penelope her parents Jessica (Catherine O'Hara) and Franklin (Richard E. Grant) lock the girl away in a sprawling mansion. Though it is said that the curse can be lifted if a man of Penelope's status takes her hand in marriage every man who lays eyes on the girl takes flight at first sight never to return -- until the arrival of Max (McAvoy) that is. An unrepentant gambler with a heavy heart and an ulterior motive for meeting Penelope Max is unexpectedly caught off guard by the pig-nosed girl's disarming charm and suddenly flees before carrying out his nefarious plan. Now determined to throw caution to the wind and explore the world on her own terms Penelope makes the acquaintance of independent-minded delivery girl Annie (Witherspoon) who fast agrees to join her newfound friend on the ultimate journey of self-discovery., Christina Ricci | James McAvoy | Catherine O'Hara | Peter Dinklage | Richard E. Grant | Reese Witherspoon | Simon Woods | Ronni Ancona | Michael Feast | Nigel Havers | Lenny Henry | Christina Greatrex | Nick Frost, Edward Scissorhands | Beastly | Big Man on Campus | Maid to Order | Here Comes Mr. Jordan | The Purple Rose of Cairo
https://www.allmovie.com/movie/click-v334171, Click, Comedy, Fantasy Comedy, Jun 23 2006, 107, USA, PG13, 5,  Adult Humor Drug Content Profanity Scatological Humor Sexual Situations Slapstick Violence, Frank Coraci, Columbia Pictures Happy Madison Original Film Revolution Studios, Columbia Pictures Revolution Studios Sony Pictures Entertainment, Fantastic Reality, Time Travel | Wishes Come True | Nothing Goes Right | Parenthood, architecture boss [employer] family remote-control wish-fulfillment workaholic, , A workaholic architect frustrated in his job but determined to make a better life for his family is bestowed with a powerful universal remote that allows him more control over his life than he ever knew possible in director Frank Coraci's high-concept fantasy comedy. On the surface Michael Newman (Adam Sandler) seems to have it all yet with all the demands forced upon him by his ungrateful boss (David Hasselhoff) Michael finds that setting aside time to spend with his loving wife Donna (Kate Beckinsale) and two picture-perfect children Ben (Joseph Castanon) and Samantha (Tatum McCann) has grown increasingly difficult. When a frustrating bout with the television remote leads the overworked husband and father to a nearby Bed Bath & Beyond in search of a universal remote with the power to control all of his electronic devices a curious peek into the back room leads Michael into the company of eccentric employee and talented inventor Morty (Christopher Walken). It seems that Morty has created a device that will not only allow Michael complete control over his television and stereo but his entire life as well. As Michael discovers that the remarkable device has the power to muffle the barks of the family dog zoom himself past an irritating quarrel with his wife and even allow him to travel back and forth through time to different points in his life the rush of being able to skip straight to the good parts in life soon leaves him feeling as if he's missing out on the total experience. Only when Michael begins to realize that the he has lost control of his life and the remote is now programming him does he finally learn that life is as much about the moments he'd rather forget as it is the moments he will always remember., Adam Sandler | Kate Beckinsale | Christopher Walken | Henry Winkler | David Hasselhoff | Julie Kavner | Jennifer Coolidge | Sean Astin | Jake Hoffman | Sophie Monk | Rachel Dratch | Joseph Castanon | Tatum McCann | Katie Cassidy | Jonah Hill | Lorraine Nicholson | Cameron Monaghan | Michelle Lombardo | Jana Kramer | Nick Swardson | Sid Ganis | Michael Yama | Eiji Inoue | Toshi Toda | Katheryn Cain | Frank Coraci | John Pagano | Tim Herlihy | Emilio Cast | Elliot Cho | Lily Mo Sheen | Elena Patten | Alan Au | Brianne Davis | Jenae Altschwager | Sally Insul | Nate Torrence, Jack and Jill | The Family Man | Me Myself I | A Thousand Words | Liar Liar | Mr. Destiny
https://www.allmovie.com/movie/open-season-v305230, Open Season, Children's/Family Comedy, Buddy Film Family-Oriented Comedy, Sep 29 2006, 86, USA, PG, 5,  Scatological Humor, Roger Allers / Jill Culton / Anthony Stacchi, Columbia Pictures Sony Pictures Animation, Columbia Pictures Sony Pictures Entertainment, Pick-Me-Ups | Young and Old Alike, , grizzly-bear moose wilderness woods [place] hunting, , A domesticated grizzly bear finds that there's more to life than being the star attraction of a mountain town nature show when a fast-talking mule deer offers him a crash course in woodland living in Sony Pictures Animation's first full-length animated feature. Raised by kindly park ranger Beth (Debra Messing) since he was a just a cub 900-pound grizzly Boog (Martin Lawrence) is content to spend his days entertaining Timberline tourists and his nights nestled safely in Beth's luxurious garage. Boog's life is about to get much more complicated however when paranoid hunter Shaw (Gary Sinese) returns from a recent foray in the woods with a frightened one-horn mule deer named Elliot strapped trophy-like to the hood of his truck. Though at first reluctant to answer Elliot's desperate cries for help gentle giant Boog eventually frees the thankful creature who in turn decides to teach his hulking friend what it truly means to be free. Subsequently tranquilized and relocated into the wilderness after momentarily reverting to his true animalistic nature Boog is forced to team with seasoned forest-dweller Elliot in order to find their way out of the woods before hunting season starts and Shaw comes gunning for all creatures great and small. Things are different in the woods than they were back in the safe confines of park ranger Beth's garage though and in order to find their way back to Timberline Boog and Elliot are going to have to rely on the kindness of their fellow creatures a rowdy and unruly bunch that includes an army of Scottish squirrels led by rogue critter McSquizzy (Billy Connolly) and a productive beaver construction team whose foreman Reilly (Jon Faverau) is more than willing to lend a helping tail. With hunting season now upon them and time running out as the hunters close in the unlikely duo of bear and mule deer put their new life lessons to good use by turning the tables on the gun-toting gamesmen and once again making the woods safe for the furry critters who call the forest home., Martin Lawrence | Ashton Kutcher | Gary Sinise | Debra Messing | Billy Connolly | Jon Favreau | Georgia Engel | Jane Krakowski | Gordon Tootoosis | Patrick Warburton, The Wild | Ernest & Célestine | The Country Bears | Over the Hedge | Surf's Up | Shark Tale
https://www.allmovie.com/movie/fat-girls-v348191, Fat Girls, Comedy, Teen Movie Gay & Lesbian Films Gross-Out Comedy, Nov 2 2007, 82, USA, R, 5,  Adult Situations Drug Content Profanity Strong Sexual Content Youth Substance Use, Ash Christian, , here! Films Regent Releasing, Triumph of the Geeks, High School Life | Sexual Awakening | Misfits and Outsiders | Small-Town Life, drama-teacher friendship high-school outcast, , Two misfits struggle to make their way through the living hell that is high school in this independent comedy drama. Rodney (Ash Christian) lives in a small Texas town where most folks don't have much use for musical theater or much understanding of the gay lifestyle. Since the barely closeted Rodney wants little else besides a boyfriend and the leading role in a Broadway show this doesn't make life easy for him and he has only one close friend -- Sabrina (Ashley Fink) a smart and funny girl who happens to weigh nearly three hundred pounds. Sabrina encourages Rodney to embrace his inner "fat girl" and he finds someone who understands his dreams when he strikes up a friendship with Mr. Cox (Jonathan Caouette) the school's drama coach who also does a mean Liza Minnelli impersonation in his spare time. Written and directed by leading man Ash Christian when he was only 20 years old Fat Girls was screened in competition at the 2006 Tribeca Film Festival., Ash Christian | Ashley Fink | Jonathan Caouette | Robin De Jesus | Deborah Theaker | Ellen Albertini Dow | Justin Bruening | Alexa Havins, Dorian Blues | Gypsy 83 | Edge of Seventeen | American Pie | The Perks of Being a Wallflower | Birdman
https://www.allmovie.com/movie/the-sentinel-v329889, The Sentinel, Thriller, Political Thriller, Apr 21 2006, 107, USA, PG13, 5,  Sexual Situations Violence, Clark Johnson, Further Films New Regency, 20th Century Fox Regency Enterprises, Nail-biters, Assassination Plots | Clearing One's Name | Conspiracies | Traitorous Spies/Double Agents, Secret-Service federal-agent innocence investigation mentor President rogue search suspect tracking [following] traitor, , A man who has devoted himself to serving the leader of the free world is accused of plotting against him in this thriller. Pete Garrison (Michael Douglas) is a veteran Secret Service agent who has had a long and distinguished career helping protect the president of the United States. David Breckinridge (Kiefer Sutherland) is a fellow Secret Service agent who learned most of what he knows from Garrison and holds him in great respect. When intelligence data suggests that there is a mole within the Secret Service who is part of a plot to assassinate President Ballentine (David Rasche) Garrison launches an investigation to ferret out the rogue agent and asks Breckinridge to go over the evidence with a fine-toothed comb. Breckinridge is shocked when the clues point to Garrison as the traitor within the Secret Service but his sense of duty compels him to see that his former mentor is placed under arrest. Garrison eludes his captors and struggles to prove his innocence while tracking down the real conspirator and eluding the agents who were once his colleagues. As Breckinridge leads the search for Garrison another ranking agent Jill Marin (Eva Longoria) plays devil's advocate convinced that Garrison couldn't possibly be the rat in the house. The Sentinel also co-stars Kim Basinger as the First Lady., Michael Douglas | Kiefer Sutherland | Eva Longoria | Martin Donovan | Ritchie Coster | Kim Basinger | Blair Brown | Gloria Reuben | David Rasche | Kristin Lehman | Raynor Scheine | Chuck Shamata | Paul Calderon | Jeff Kassel, The Interpreter | High Crimes | Don't Say a Word | Absolute Power | Mercury Rising | Suspect Zero
https://www.allmovie.com/movie/the-tv-set-v333626, The TV Set, Comedy Drama, Media Satire Showbiz Comedy, Apr 6 2007, 89, USA, R, 5,  Adult Humor Adult Situations Profanity, Jake Kasdan, Wexler Chronicles, THINKFilm, Just for Fun, Actor's Life | Filmmaking | Hotshots | Nothing Goes Right | Office Politics, network television-show writer, , Writer/director Jake Kasdan's showbiz comedy The TV Set stars David Duchovny as Mike Klein a television producer who in the beginning of the film successfully sells a network on a story idea. The film follows Klein as he must actually put the show together navigate the corporate minefield of the network and figure out what aspects of his show he is willing to compromise. Sigourney Weaver plays the demanding president of the network Justine Bateman plays Klein's wife and Judy Greer plays his manager. The TV Set had its world premiere at the 2006 Tribeca Film Festival., David Duchovny | Sigourney Weaver | Ioan Gruffudd | Judy Greer | Fran Kranz | Lindsay Sloane | Justine Bateman | Lucy Davis | Willie Garson | M.C. Gainey | Wendle Josepher | Phil Rosenthal | David Doty | Matthew Price | Simon Helberg | Kaitlin Doubleday | Andrea Martin | Charlotte Salt | Bree Turner, Swimming With Sharks | State and Main | Burn Hollywood Burn | The Big Picture | Hijacking Hollywood | Bamboozled
https://www.allmovie.com/movie/scoop-v348267, Scoop, Comedy Mystery, Fantasy Comedy, Jul 28 2006, 96, USA, PG13, 5,  Adult Language Adult Situations Sexual Situations, Woody Allen, BBC Films Ingenious Film Partners Jelly Roll Productions Phoenix Wiley, Focus Features, Just for Fun, Members of the Press | Serial Killers | Wizards and Magicians | Americans Abroad | Dangerous Attraction, magician [performer] reporter scoop [journalism] serial-killer, , Both laughs and thrills are on the masthead in this comedy drama about a would-be reporter written and directed by Woody Allen. Sondra Pransky (Scarlett Johansson) is an American journalism student who travels to England to visit friends. While in London she attends a magic show where magician Sid "Splendini" Waterman (Woody Allen) brings her on-stage as part of a trick in which he makes her disappear. However while waiting to be "de-materialized" she's visited by the ghost of a murdered reporter (Ian McShane) who passes along the scoop of the decade. The spirit claims that Peter Lyman (Hugh Jackman) the wealthy and handsome son of a well-known aristocrat is leading a double life as "the Tarot Card Killer" a serial murderer who has been terrifying the nation and eluding police. With the magician's help Jane begins investigating the story and is able to piece together some incriminating evidence against Lyman. However the more she learns the more dangerous her investigation becomes -- especially when she falls into a romance with the suspected killer. Scoop was Woody Allen's second consecutive film with leading lady Scarlett Johansson after the critically acclaimed Match Point; it was also Allen's second feature to be shot in Great Britain., Woody Allen | Hugh Jackman | Scarlett Johansson | Ian McShane | Charles Dance | Romola Garai | Fenella Woolgar | Julian Glover | Victoria Hamilton | Margaret Tyzack, Match Point | The Thin Man | Manhattan Murder Mystery | To Rome With Love | Nights of Cabiria | The Curse of the Jade Scorpion
https://www.allmovie.com/movie/alpha-dog-v317023, Alpha Dog, Crime, Crime Drama Docudrama, Jan 12 2007, 117, USA, R, 5,  Drug Content Nudity Profanity Sexual Situations Violence, Nick Cassavetes, A-Mark Entertainment Sidney Kimmel Entertainment VIP Medienfonds 2, Universal Pictures, Food for Thought, Drug Trade | Kidnapping, crime-lord debt drug-dealer drug-trade kidnapping, , A drug dealer moves on to bigger crimes in an effort to settle a score with disastrous results in this drama inspired by actual events. Though barely out of his teens Johnny Truelove (Emile Hirsch) has already built a lucrative career for himself selling drugs -- he has his own home a luxury car and posse of friends who do double duty as his crew including Elvis (Shawn Hatosy) Frankie (Justin Timberlake) and Tiko (Fernando Vargas). While life at Johnny's house is usually a constant party interrupted by occasional dope deals Johnny has lost all of his patience with Jake Mazursky (Ben Foster) a regular customer who has run up a large tab that he can't pay. Determined to clear Jake's account Johnny and his boys plan to kidnap Jake and hold him for ransom but when they happen upon his 15-year-old stepbrother Zack (Anton Yelchin) they impulsively decide to take the youngster instead. Jake's father Butch (David Thornton) and his stepmother Olivia (Sharon Stone) are already furious with their junkie son when they learn about Zack's disappearance and aren't sure what they should do. Meanwhile at Johnny's place Frankie takes a liking to young Zack who already admires his brother's high-flying lifestyle and introduces the kid to the joys of grown-up partying which he takes to with dangerous zeal. Also featuring Bruce Willis as Johnny's father Alpha Dog was based on the real-life story of Jesse James Hollywood who at the age of 21 became one of the youngest people to ever appear on the FBI's "Most Wanted" list., Emile Hirsch | Justin Timberlake | Bruce Willis | Sharon Stone | Ben Foster | Anton Yelchin | Alex Kingston | Harry Dean Stanton | Alex Solowitz | Fernando Vargas | Olivia Wilde | Dominique Swain | Vincent Kartheiser | Shawn Hatosy | Vincent Laresca | Shera Danese | David Thornton | Heather Wahlquist | Lukas Haas | Christopher Marquette, River's Edge | Blue Caprice | Pups | New Port South | Eenie Meenie Miney Moe | Black and White
https://www.allmovie.com/movie/the-groomsmen-v326906, The Groomsmen, Comedy Drama, Ensemble Film Reunion Films Urban Comedy, Jul 14 2006, 98, USA, R, 5,  Adult Humor Adult Situations Brief Nudity Profanity Sexual Situations, Edward Burns, Bauer Martinez Studios Marlboro Road Gang Productions Templar Films, , Only Human, Faltering Friendships | Thirtysomething Life | Wedding Bells, bar [pub] brother engagement homosexual party pregnancy, , Five longtime friends enjoy a few days of celebratory carousing as they try to forget their adult responsibilities in this slice-of-life comedy drama from director/writer/actor Edward Burns. Paulie (Burns) is a working-class guy from Long Island who has learned that his longtime girlfriend (Brittany Murphy) is pregnant and he decides he should do the right thing and marry her. Paulie has asked several of his best friends to stand with him at the wedding and shortly before the big day they get together at a local watering hole to give Paulie a proper send-off. Over the course of a weekend the guys knock back a lot of beer play a little softball swat some golf balls head out fishing and share their thoughts with each man having some unresolved baggage to deal with. While Paulie is excited about his upcoming marriage he's scared of how parenthood will change his life. His older brother Jimbo (Donal Logue) has been arguing with his wife and spending his time in topless bars but inside he's worried about the fact his wife hasn't been able to get pregnant and he's convinced it's his fault. Des (Matthew Lillard) is a seemingly happy husband and father but he seems to be more interested in getting his old rock band back together than spending time with his family. Mike (Jay Mohr) wants to settle down and have kids but he can't imagine doing so with any woman other than the girl who dumped him some time ago. And while T.C. (John Leguizamo) goes out of his way to like one of the guys he doesn't have the nerve to tell his best friends that he's gay. The Groomsmen received its world premiere at the 2006 Tribeca Film Festival., Edward Burns | Brittany Murphy | John Leguizamo | Jay Mohr | Matthew Lillard | Donal Logue | Jessica Capshaw | Heather Burns | John Mahoney, Trees Lounge | Diner | Five Aces | Beautiful Girls | Swingers | Dancer Texas Pop. 81
https://www.allmovie.com/movie/land-of-the-blind-v336707, Land of the Blind, Drama, Psychological Drama, Jun 16 2006, 101, UK, R, 5, , Robert Edwards, Bauer Martinez Studios Brooklyn Films Defender Film Fund II Lucky 7 Productions, , Head Trips, Haunted By the Past | Switching Sides | Totalitarian States, political-corruption, , The debut film by director Robert Edwards Land of the Blind is a political satire starring Ralph Fiennes as a military man who helps overthrow his government. He does so at the urging of a political prisoner played by Donald Sutherland who has been outspoken about the corruption of the current regime. The soldier learns that corruption may in fact be an inevitable part of having power. Set in an unnamed country without ever giving indication of a specific time period the allegorical film had its North American debut at the 2006 Tribeca Film Festival., Ralph Fiennes | Donald Sutherland | Tom Hollander | Lara Flynn Boyle | Ron Cook | Robert Daws | Laura Fraser | Jonathan Hyde | Camilla Rutherford | Don Warrington | Miranda Raison | Nigel Whitmey | Leigh Zimmerman, The Hustler | The Great Dictator | The Onion Field | The Best Years of Our Lives | The Messenger | Magnolia
https://www.allmovie.com/movie/the-short-life-of-jos%C3%A9-antonio-gutierrez-v340441, The Short Life of José Antonio Gutierrez, Culture & Society, Biography Military & War Social Issues, Apr 27 2007, 89, Germany Switzerland, , 5, , Heidi Specogna, PS Film Specogna Film TAG/TRAUM Filmproduktion ZDF, Atopia Distribution, Food for Thought, Immigrant Life | Military Life | Down on Their Luck, casualties foster-family green-card Guatemala immigrant Iraq Marines orphan photograph soldier street-kid war, , The story of the first American soldier to be killed in the Iraqi war sets the stage for a studied exploration of just what it means to be an emigrant in search of the American dream in director Heidi Specogna's look at the life of slain soldier José Antonio Gutierrez. When his face made the nightly news Gutierrez was mourned as an ambitious Guatemalan boy who dreamt of growing up to be an American and fighting for the freedom that America represented to him. As filmmaker Specogna comes into possession of two photographs of Gutierrez -- one as a young orphan and another as a grown soldier -- she speaks with the people who knew him best in hopes of getting the true story of his short and tragic life. The result is a revealing look at the harsh socioeconomic conditions that drive desperate individuals such as Gutierrez to brave the treacherous journey to America in hopes of building a better life for the ones they love., Miguel Perez | Eva Mattes | Alexander Radszun, Where Soldiers Come From | Gunner Palace | The War Tapes | Soldiers Pay | Paper Clips | The Way We Get By
https://www.allmovie.com/movie/bonneville-v341063, Bonneville, Comedy Drama, Road Movie, Feb 29 2008, 102, USA, PG, 5,  Adult Language Adult Situations, Christopher N. Rowley, Drop of Water Productions SenArt Films, , Pick-Me-Ups, Women's Friendship | Journey of Self-Discovery | Death of a Partner | Golden Years, daughter friendship road-trip widow/widower, , A woman looking to fulfill her late husband's final wish sets out on a transformative cross-country road trip in director Christopher N. Rowley's warmhearted tale of friendship self-discovery and the memories that make life worth living even after the ones we love have gone. Arvilla (Jessica Lange)'s husband Joe has recently died during a trip to Borneo and his ashes have just arrived at her home in Pocatello ID. Though Joe had previously specified in his will that he would like his ashes scattered by his beloved wife the well-intending Arvilla soon becomes locked in a heated battle of wills with Francine (Christine Baranski) -- Joe's well-to-do daughter from a previous marriage. Francine is determined to see her father laid to rest next to her mother in Santa Barbara and she's threatened to sell the house that her father and Arvilla have lived in since marrying to ensure that she gets her way. Now Arvilla has lost Joe's will leaving no way to confirm either what he wanted done with his remains or what Arvilla is to receive upon her husband's death. Defeated Arvilla sets her sights on Santa Barbara to surrender the ashes to Francine and attempt to come to terms with the loss of her husband. When Arvilla's sassy best-friend Margene (Kathy Bates) and uptight pal Carol (Joan Allen) agree to join their recently-widowed friend on her journey and offer some much-needed moral support the trio soon sets out in Arvilla's vintage '66 Pontiac Bonneville for a journey of a lifetime., Jessica Lange | Kathy Bates | Joan Allen | Christine Baranski | Victor Rasuk | Tom Amandes | Tom Wopat | Tom Skerritt, The Spitfire Grill | Calendar Girls | Leaving Normal | Fried Green Tomatoes | Steel Magnolias | Camilla
https://www.allmovie.com/movie/home-of-the-brave-v343824, Home of the Brave, Drama, Psychological Drama War Drama, May 11 2007, 105, USA, R, 5,  Profanity War Violence, Irwin Winkler, Emmett/Furla Films Millennium Films North by Northwest Entertainment Nu Image Winkler Films Zak Productions, MGM, In a Minor Key, Haunted By the Past | Home From the War, aftermath homecoming Iraq post-traumatic-stress war-on-terrorism, , As their tour of duty in Iraq draws to a close four American soldiers learn that they are scheduled to embark on one final fateful mission that will forever change their concept of war. Shortly after receiving the news that they will soon be reunited with their families back in the United States a unit serving in Iraq is deployed on a humanitarian mission to deliver medical supplies to a remote Iraqi village. Upon arriving in the village the unit is viciously ambushed and many lives are lost. Now as the surviving members of the battalion return home and attempt to readjust to civilian life the physical injuries and psychological scars sustained during that tragic event continue to take a heavy emotional toll on the war-torn soldiers. Samuel L. Jackson Jessica Biel and rapper-turned-actor 50 Cent star in an affecting psychological war drama from Academy Award-winning director Irwin Winkler., Samuel L. Jackson | Jessica Biel | Brian Presley | Victoria Rowell | Chad Michael Murray | Jeffrey Nordling | Christina Ricci | Vyto Ruginis, Courage Under Fire | Coming Home | The Messenger | Rebecca | The Best Years of Our Lives | Friendly Persuasion
https://www.allmovie.com/movie/10-items-or-less-v345264, 10 Items or Less, Comedy Drama, Slice of Life Road Movie, Dec 1 2006, 81, USA, R, 5,  Adult Situations Profanity, Brad Silberling, 10 Items LLC Mockingbird Pictures Myriad Pictures Reveal Entertainment Revelations Entertainment, Reveal Entertainment THINKFilm, Only Human, Unlikely Friendships | Class Differences | Culture Clash | Journey of Self-Discovery | Actor's Life, cashier Hollywood movie-star supermarket, , An aging Hollywood icon whose fear of failure has caused his once-luminous star to smoulder strikes up an unlikely friendship with an acid-tongued checkout clerk while researching his latest role in City of Angels and Moonlight Mile director Brad Silberling's intimate drama. Crippled by his own all-consuming fears the man who was once Hollywood's hottest icon (Morgan Freeman) is forced to consider a role in a low-budget independent after a series of more lucrative prospects wither away on the vine. When his driver abandons him during a trip to Carson to research his upcoming role the onetime showbiz supernova strikes up a lively conversation with Scarlet (Paz Vega) an outspoken check-out girl at a Latino community market. Now stuck on his own far from Brentwood the actor must rely upon the kindness of a common stranger to help him get back on his feet., Morgan Freeman | Paz Vega | Bobby Cannavale | Anne Dudek | Jennifer Echols | Jonah Hill | Leonardo Nam | Kumar Pallana | Jim Parsons | Danny DeVito | Rhea Perlman, Spanglish | State and Main | Lost in Translation | World Traveler | My First Mister | Doc Hollywood
https://www.allmovie.com/movie/boy-culture-v346635, Boy Culture, Comedy Drama, Gay & Lesbian Films Romantic Drama, Mar 23 2007, 88, USA, , 5,  Nudity Strong Sexual Content, Q. Allan Brocka, Boy Culture, TLA Releasing, Carnal Knowledge, Looking For Love | Playing the Field | Prostitutes | Questioning Sexuality, customer hustler lessons prostitute/prostitution roommate teenagers, , A male prostitute who has dismissed the need for love in his life learns a lesson about affection from one of his customers in this independent comedy drama from filmmaker Q. Allan Brocka. X (Derek Magyar) is a gay hustler whose enigmatic name reflects his emotional distance from the world around him; he doesn't much believe in love and isn't interested in sex unless he's being paid for it. X has a dozen regular customers he calls his "disciples" and shares his home with two roommates -- Andrew (Darryl Stephens) whose good looks sometimes tempt X though he's still uncertain about his own sexual feelings and Joey (Jonathon Trent) an uninhibited and outré teenager who openly lusts after X to no avail. Gregory (Patrick Bauchau) is an older man who regularly hires X for companionship but he refuses to have sex with the hustler until he's willing to acknowledge that their attraction is mutual. X isn't about to admit to any such thing but one day Gregory shares a story with X that forces him to reconsider his thinking. Boy Culture received its North American premiere at the 2006 Tribeca Film Festival., Derek Magyar | Patrick Bauchau | Darryl Stephens | Jonathan Trent | Peyton Hinson | Kyle Santler | George Jonson | Emily Brooke Hands | Matt Riedy | Clifford Harrington | Molly Manago | Jesse Archer | Laprell Nelson | William Hall Jr., My Own Private Idaho | Longtime Companion | Love! Valour! Compassion! | Marty | Before Sunset | The Heiress
